CASENO,PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,ZONECODE,PEBLOCKNO,WORKTYPE,MAINPROCESSCODE,SUBPROCESSCODE,SHOPCODE,DEPTCODE,ACTUALSTARTDATE,ACTUALFINISHDATE,ACTUALDURATION,ACTUALMH,ACTUALPROGRESS,PLANSTARTDATE,PLANFINISHDATE,PLANDURATION,PLANMH,VOL1,VOL2,VOL3,OFFSET,DESCUPDOWN,LINEPOSITION,ACTIVITYDESC,WORKCODE,STAGECODE,ZONECODE2,NOTE,NOTEPOSITION,REFKEYEVENT,RESCHEDULEDATE
DHSCMULTI,U705,A11C HF010,A11C,B,,,H,F,1,,,,,0,,,2020-01-28,2020-01-28,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,A11C FB011,A11C,B,,,F,B,1,,,,,0,,,2020-03-09,2020-03-10,2,12,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A11C PB011,A11C,B,,,P,B,1,,,,,0,,,2020-05-08,2020-05-18,7,96.5,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,A11C HF020,A11C,B,,,H,F,2,,,,,0,,,2020-02-05,2020-02-05,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,A11C HA021,A11C,B,,,H,A,2,,,,,0,,,2020-03-04,2020-03-11,6,32.5,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A11C FB021,A11C,B,,,F,B,2,,,,,0,,,2020-04-22,2020-04-29,6,32.2,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A11C HL023,A11C,B,,,H,L,2,,,,,0,,,2020-06-15,2020-06-15,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,A11C HF031,A11C,B,,,H,F,3,,,,,0,,,2020-02-20,2020-02-20,1,13.3,0,0,0,0,U,0,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,A11C HA041,A11C,B,,,H,A,4,,,,,,,,2020-03-17,2020-04-16,23,50.2,,,,,U,,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,A21C HF010,A21C,B,,,H,F,1,,,,,0,,,2020-01-15,2020-01-15,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,A21C HA011,A21C,B,,,H,A,1,,,,,0,,,2020-02-20,2020-03-02,8,33.3,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A21C FB011,A21C,B,,,F,B,1,,,,,0,,,2020-03-24,2020-03-25,2,99.7,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A21C PB011,A21C,B,,,P,B,1,,,,,,,,2020-05-14,2020-05-22,7,88.1,,,,,U,,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,A21C HF020,A21C,B,,,H,F,2,,,,,0,,,2020-01-23,2020-01-23,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,A21C HA021,A21C,B,,,H,A,2,,,,,0,,,2020-03-17,2020-03-26,8,48.2,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A21C FB021,A21C,B,,,F,B,2,,,,,0,,,2020-04-27,2020-05-08,7,236.9,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A21C HL023,A21C,B,,,H,L,2,,,,,0,,,2020-06-15,2020-06-15,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,A21C HF031,A21C,B,,,H,F,3,,,,,0,,,2020-02-11,2020-02-11,1,28.4,0,0,0,0,U,0,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,A21C HA031,A21C,B,,,H,A,3,,,,,0,,,2020-03-05,2020-03-20,12,30,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A21C HA041,A21C,B,,,H,A,4,,,,,0,,,2020-04-01,2020-04-21,15,102.5,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,A31C HF010,A31C,B,,,H,F,1,,,,,0,,,2020-02-13,2020-02-13,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,A31C HA011,A31C,B,,,H,A,1,,,,,0,,,2020-03-17,2020-03-26,8,51.8,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A31C FB011,A31C,B,,,F,B,1,,,,,0,,,2020-04-20,2020-04-21,2,1.8,0,0,0,0,U,0,M-Assembly Outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A31C PB011,A31C,B,,,P,B,1,,,,,0,,,2020-06-09,2020-06-17,7,94.6,0,0,0,0,U,0,Block painting/ IN SHOP,9,1,,,,,
DHSCMULTI,U705,A31C HF020,A31C,B,,,H,F,2,,,,,0,,,2020-02-21,2020-02-21,1,0,0,0,0,0,U,0,Material import,,0,,,,,
DHSCMULTI,U705,A31C HA021,A31C,B,,,H,A,2,,,,,0,,,2020-04-13,2020-04-22,8,75.9,0,0,0,0,U,0,S-Assembly(for L-Assembly)/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A31C FB021,A31C,B,,,F,B,2,,,,,0,,,2020-05-26,2020-06-03,7,3,0,0,0,0,U,0,Block pre-outfitting/ IN SHOP,11,1,,,,,
DHSCMULTI,U705,A31C HL023,A31C,B,,,H,L,2,,,,,0,,,2020-07-06,2020-07-06,1,0,0,0,0,0,U,0,1st PE Lifting/ 1st PE,6,3,,,,,
DHSCMULTI,U705,A31C HF031,A31C,B,,,H,F,3,,,,,,,,2020-03-09,2020-03-09,1,62.4,,,,,U,,Fabrication/ IN SHOP,2,1,,,,,
DHSCMULTI,U705,A31C HA031,A31C,B,,,H,A,3,,,,,0,,,2020-04-01,2020-04-16,12,25.3,0,0,0,0,U,0,M-Assembly/ IN SHOP,3,1,,,,,
DHSCMULTI,U705,A31C HA041,A31C,B,,,H,A,4,,,,,0,,,2020-04-28,2020-05-21,15,1067.5,0,0,0,0,U,0,L-Assembly/ IN SHOP,5,1,,,,,
DHSCMULTI,U705,A41C HF010,A41C,B,,,H,F,1,,,,,0,,,2020-02-19,2020-02-19,1,0,0,0,0,0,U,0,DWG,,0,,,,,
DHSCMULTI,U705,A41C HA011,A41C,B,,,H,A,1,,,,,0,,,2020-03-23,2020-04-01,8,36.8,0,0,0,0,U,0,S-Assembly (for M-Assembly)/ IN SHOP,3,1,,,,,
